"Today";"I dag"
"Available";"Tilgjengelig"
"days left";"dager igjen"
"Failure";"Feilet"
"Please write a message before you try to send it.";"Vennligst skriv en melding før du sender den."
"Success";"Suksess"
"Thank you for your feedback";"Tusen takk for tilbakemeldingen din"
"Passwords did not match, please try again.";"Passordene stemmer ikke overens, prøv igjen."
"No such language.";"Inget slikt språk."
"Account has been updated.";"Konto er nå oppdatert."
"Account has been updated. Refresh this page for the language to change.";"Konto er nå oppdatert. Oppdater nettsiden for å forandre språket."
"Something went wrong, try again later.";"Noe gikk galt, prøv igjen senere."
"Account successfully removed.";"Konto fjernet."
"Invalid credentials, please try again.";"Ugyldig brukernavn/passord kombinasjon, prøv igjen."
"Invalid email address, please try again.";"Ugyldig e-postadresse, prøv igjen."
"The email address is already in use on the service.";"E-postadressen er allerede i bruk på denne tjenesten."
"Developed by";"Utviklet av"
"Your user settings";"Dine brukerinnstillinger"
"Account details";"Kontodetaljer"
"Language";"Språk"
"English";"Engelsk"
"Password";"Passord"
"Update account";"Oppdater konto"
"Remove account";"Fjern konto"
"Password to confirm";"Passord for å konfirmere"
"Remove my account";"Fjern min konto"
"Close";"Lukk"
"Give us some feedback";"Gi oss tilbakemelding"
"Warning";"Advarsel"
"Send feedback";"Send tilbakemelding"
"Need some help?";"Trenger du hjelp?"
"I found a bug, what do I do?";"Jeg fant en feil, hva gjør jeg?"
"I have an idea for a new feature, to whom do I speak?";"Jeg har en idé for en funksjon, hvem snakker jeg med?"
"How can I contribute?";"Hvordan kan jeg delta?"
"I welcome you to send us a pull-request if you fix bugs, improve on features or come up with something new :-D. This project is available at <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a> as a open source project. If you want to contribute in some other way, please let me know using the Feedback form.";"Du er velkommen til å sende oss en pull-request hvis du fikser bugs, forbedrer funksjoner eller finner på noe nytt :-D. Dette prosjektet er tilgjengelig på <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a> som et åpent kildekode prosjekt. Hvis du ønsker å delta på andre måter så er det bare å si ifra gjennom tilbakemeldingsformen."
"I have some other problem!";"Jeg har et annet problem!"
"Wait …";"Vent …"
"Viewed";"Sett"
"Set none";"Merk ingen"
"Set all";"Merk alle"
"Sending …";"Sender …"
"Sent!";"Sendt!"
"Overview";"Oversikt"
"Next available episodes";"Neste tilgjengelige episoder"
"You have no favourites yet! Why not add some?";"Du har ingen favoritter enda! Hvorfor ikke legge til noen?"
"Show";"Serier"
"Season";"Sesong"
"Episode";"Episode"
"Availability";"Tilgjengelighet"
"Unaired";"Utilgjengelig"
"Quick Search";"Raskt søk"
"Favourites";"Favoritter"
"Account";"Konto"
"Settings";"Innstillinger"
"Sign out";"Logg ut"
"Other";"Andre"
"Give feedback or suggestions";"Gi tilbakemelding eller forslag"
"Get some help";"Få litt hjelp"
"Sign in";"Logg inn"
"EpCtrl.com – over 6000 tv-series";"EpCtrl.com – over 6000 tv-serier"
"EpCtrl has episode lists for over 6000 tv-series.";"EpCtrl har episodelister for over 6000 tv-serier."
"EpCtrl.com – control over next available episodes";"EpCtrl.com – kontroll over neste tilgjengelige episoder"
"Sign up";"Registrer deg"
"The account will be accessable right away!";"Kontoen vil være tilgjengelig umiddelbart!"
"… or sign up for free";"… eller registrer deg gratis"
"Next available episode";"Neste tilgjengelige episode"
"Title";"Tittel"
"Back to top";"Tilbake til toppen"
"Actions";"Oppgaver"
"Add to favourites";"Legg til i favoritter"
"Remove from favourites";"Fjern fra favoritter"
"Mark all as viewed";"Merk alle som sett"
"Mark range as viewed";"Merk rekke som sett"
"Mark all as available";"Merk alle som tilgjengelige"
"From";"Fra"
"To";"Til"
"Fill in the # numbers of a range of episodes to be marked as viewed.";"Fyll inn episodetallet (#) for den første og siste i en rekke episoder som du har sett."
"Short and descriptive subject";"Kort og beskrivende emne"
"Your feedback is important for us to improve. Please let us know what's good and what's missing.";"Din tilbakemelding er viktig for at vi skal bli bedre. Vennligst fortell oss hva som er bra og hva som mangler."
"If you find a bug it's important that you let us know so we can fix it! Please use the Feedback form, and mark the subject with «Bug report».";"Hvis du finner en bug er det viktig at du lar oss vite om den slik at vi kan fikse den. Vennlist bruk tilbakemeldingsformen, merk emnet med «Bug report»."
"If you get a good idea for a new feature you\'d like to see, please let ut know. You could either do that by using the feedback form (mark the subject with «Feature idea»), or if you are a developer you can fork (this prosject is opensource and available at <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a>) or contribute to the project.";"Hvis du har en god idé til en ny funksjone du ønsker å se, vennlist la oss vite om den. Du kan enten gjøre dette ved å bruke tilbakemeldingsformen (merk emnet med «Feature Idea»), eller hvis du er en utvikler kan du lage en fork av prosjektet (prosjektet er tilgjengelig som åpen kildekode på <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a>), eller delta ved å sende en pull-request."
"I welcome you to send us a pull-request if you fix bugs, improve on features or come up with something new :-D. This project is available at <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a> as a open source project. If you want to contribute in some other way, please let me know using the Feedback form.";"Du er velkommen til å sende oss en pull-request hvis du fikser en bug, forbedrer funksjoner eller finner på noe nytt :-D. Prosjektet er tilgjengelig på <a href='https://github.com/kristoiv/epctrl' target='_BLANK'>github</a> som et åpent kildekode prosjekt. Hvis du ønsker å delta på en annen måte, vennligst ta kontakt gjennom tilbakemeldingsformen."
"If you have some other problem I welcome you to let us know by using the Feedback form and we'll try to get back to you as soon as possible at the email-address of your account.";"Hvis du har et annet problem kan du kontakte oss gjennom tilbakemeldingsformen. Vi kommer til å ta kontakt med deg så fort som mulig på e-postadressen som er knyttet til kontoen din."
"New password";"Nytt passord"
"… and again.";"… og igjen."
"Your account password";"Ditt kontopassord"
"Wrong password, couldn't remove user.";"Feil passord, kunne ikke fjerne bruker."
"Norwegian (nb)";"Norsk (nb)"
